CAS Reg. No.,PubChem SMILES,Mol. wt.,JR Tb /K,CRC Tb /K
90-04-0,COC1=CC=CC=C1N,123.15499999999994,486.37,494.15
111-41-1,C(CNCCO)N,104.15299999999992,506.0,515.15
100-29-8,CCOC1=CC=C(C=C1)[N+](=O)[O-],167.16400000000007,588.56,556.15
111-26-2,CCCCCCN,101.19299999999993,409.41,405.15
4597-87-9,CNC1=CC=CC=N1,108.14399999999996,467.43,475.15
704-01-8,CN(C)C1=CC=CC=C1N(C)C,164.25200000000012,484.94,488.65
91-55-4,CC1=C(NC2=CC=CC=C12)C,145.2050000000001,529.1400000000001,557.15
532-96-7,C1=CC=C(C=C1)C(=O)NNC2=CC=CC=C2,212.25200000000007,704.6099999999999,587.15
459-22-3,C1=CC(=CC=C1CC#N)F,135.14100000000005,515.65,501.15
1604-01-9,CCCC1=NCCCC1,125.21499999999992,464.7,447.15
118-31-0,C1=CC=C2C(=C1)C=CC=C2CN,157.2160000000001,574.45,565.15
111-74-0,CCNCCNCC,116.20799999999991,437.22,419.15
609-72-3,CC1=CC=CC=C1N(C)C,135.21000000000004,449.62,458.15
811-93-8,CC(C)(CN)N,88.15399999999994,432.95,404.15
70-34-8,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])F,186.098,676.47,569.15
1864-92-2,CCN(CC)C1=CC(=CC=C1)OCC,193.29000000000013,540.6800000000001,559.15
2237-30-1,C1=CC(=CC(=C1)N)C#N,118.13899999999995,566.03,562.15
693-95-8,CC1=CSC=N1,99.15799999999996,415.9,406.35
105-34-0,COC(=O)CC#N,99.08899999999998,451.42,476.15
16898-52-5,C1CNCCC1CCCC2CCNCC2,210.3650000000002,633.24,602.15
108-48-5,CC1=NC(=CC=C1)C,107.15599999999992,445.12,417.15
105-59-9,CN(CCO)CCO,119.16399999999992,510.8,518.15
104-63-2,C1=CC=C(C=C1)CNCCO,151.20900000000012,574.55,553.15
2437-25-4,CCCCCCCCCCCC#N,181.3230000000002,576.24,549.25
1114-51-8,CCC(=O)N(CC)CC,129.20299999999995,426.07,464.15
109-96-6,C1C=CCN1,69.10699999999997,358.78,363.15
108-50-9,CC1=CN=CC(=N1)C,108.14399999999996,475.94,428.75
926-63-6,CCCN(C)C,87.16599999999994,326.43999999999994,338.15
3476-89-9,C1CNC2=CC=CC=C2N1,134.18200000000002,527.0799999999999,562.15
143-16-8,CCCCCCNCCCCCC,185.35500000000025,524.3299999999999,509.15
2155-94-4,CN(C)CC=C,85.14999999999993,323.12,335.15
109-09-1,C1=CC=NC(=C1)Cl,113.54699999999998,431.81,443.15
583-58-4,CC1=C(C=NC=C1)C,107.15599999999996,445.12,452.25
613-97-8,CCN(C)C1=CC=CC=C1,135.21,444.64,477.15
462-08-8,C1=CC(=CN=C1)N,94.11699999999998,466.91,525.15
626-23-3,CCC(C)NC(C)CC,129.24699999999993,431.93,408.15
616-43-3,CC1=CNC=C1,81.11799999999997,385.8,416.15
5053-43-0,CC1=NC=CC=N1,94.11699999999996,448.08,411.15
2216-92-4,CCOC(=O)CNC1=CC=CC=C1,179.2190000000001,563.4699999999999,546.65
634-93-5,C1=C(C=C(C(=C1Cl)N)Cl)Cl,196.46400000000003,563.3199999999999,535.15
89-69-0,C1=C(C(=CC(=C1Cl)Cl)Cl)[N+](=O)[O-],226.446,642.6300000000001,561.15
3731-52-0,C1=CC(=CN=C1)CN,108.14399999999996,489.79,499.15
121-17-5,C1=CC(=C(C=C1C(F)(F)F)[N+](=O)[O-])Cl,225.55300000000005,580.25,495.15
1122-60-7,C1CCC(CC1)[N+](=O)[O-],129.15899999999996,508.2699999999999,478.15
4630-20-0,CC1=CC2=C(C=C1)NC3=CC=CC=C32,181.23800000000008,616.76,638.15
551-88-2,CCC(CC)[N+](=O)[O-],117.14799999999994,465.4,427.15
91-63-4,CC1=NC2=CC=CC=C2C=C1,143.18900000000005,532.74,520.55
326-62-5,C1=CC=C(C(=C1)CC#N)F,135.14100000000005,515.65,505.15
95-69-2,CC1=C(C=CC(=C1)Cl)N,141.60100000000006,506.36,517.15
645-36-3,CCOC(CN)OCC,133.191,453.81,436.15
552-82-9,CN(C1=CC=CC=C1)C2=CC=CC=C2,183.25400000000008,562.8399999999999,567.15
1202-34-2,C1=CC=NC(=C1)NC2=CC=CC=N2,171.2030000000001,639.3299999999999,580.65
93-37-8,CC1=CC2=C(C=C1)C=CC(=N2)C,157.2160000000001,560.5999999999999,533.15
581-08-8,CCOC1=CC=CC=C1NC(=O)C,179.2190000000001,586.52,572.15
581-47-5,C1=CC=NC(=C1)C2=CC=NC=C2,156.18800000000007,589.16,556.15
109-73-9,CCCCN,73.13899999999995,363.65,350.15
2393-23-9,COC1=CC=C(C=C1)CN,137.18200000000007,509.25,509.65
109-77-3,C(C#N)C#N,66.06299999999999,472.4,492.15
2050-92-2,CCCCCNCCCCC,157.30100000000022,478.57,477.15
3034-53-5,C1=CSC(=N1)Br,164.02700000000002,459.18,444.15
33966-50-6,CCC(C)N,73.13899999999995,363.21,335.86
87-25-2,CCOC(=O)C1=CC=CC=C1N,165.1920000000001,567.93,544.15
123-83-1,CCNCCN(C)C,116.20799999999991,399.49,407.65
110-76-9,CCOCCN,89.13799999999995,386.07,381.15
586-77-6,CN(C)C1=CC=C(C=C1)Br,200.0790000000001,492.9,537.15
536-90-3,COC1=CC=CC(=C1)N,123.15499999999994,486.37,524.15
2042-37-7,C1=CC=C(C(=C1)C#N)Br,182.02000000000004,559.66,525.15
540-73-8,CNNC,60.10000000000002,345.7,355.15
99-35-4,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],213.105,829.04,588.15
694-05-3,C1CNCC=C1,83.13399999999994,385.93,390.15
36768-62-4,CC1(CC(CC(N1)(C)C)N)C,156.2730000000002,537.29,461.65
89-93-0,CC1=CC=CC=C1CN,121.18299999999994,486.83,479.15
1603-40-3,CC1=C(N=CC=C1)N,108.14399999999996,494.77,495.95
529-19-1,CC1=CC=CC=C1C#N,117.15099999999995,516.3799999999999,478.15
583-68-6,CC1=CC(=C(C=C1)N)Br,186.05200000000008,535.09,513.15
5666-17-1,CCN(CC)CC=C,113.20399999999992,368.88,383.15
142-84-7,CCCNCCC,101.19299999999993,387.05,380.65
7661-55-4,CC1=C2C=CC=NC2=CC=C1,143.18900000000008,532.74,530.15
108-45-2,C1=CC(=CC(=C1)N)N,108.14399999999996,513.5999999999999,555.15
95-54-5,C1=CC=C(C(=C1)N)N,108.14399999999996,513.5999999999999,530.15
611-92-7,CN(C1=CC=CC=C1)C(=O)N(C)C2=CC=CC=C2,240.3060000000001,674.9100000000001,623.15
89-60-1,CC1=CC(=C(C=C1)Cl)[N+](=O)[O-],171.58300000000003,585.67,534.15
612-22-6,CCC1=CC=CC=C1[N+](=O)[O-],151.16500000000008,566.1399999999999,505.65
3731-53-1,C1=CN=CC=C1CN,108.14399999999996,489.79,503.15
1823-91-2,CC(C#N)C1=CC=CC=C1,131.178,533.8399999999999,504.15
109-76-2,C(CN)CN,74.12699999999995,413.3,412.35
109-04-6,C1=CC=NC(=C1)Br,157.99800000000005,460.54,466.15
591-62-8,CCCCNC(=O)OCC,145.20200000000014,468.15,494.15
588-07-8,CC(=O)NC1=CC(=CC=C1)Cl,169.61100000000005,555.77,606.15
7087-68-5,CCN(C(C)C)C(C)C,129.2469999999999,394.19999999999993,387.15
459-73-4,CCOC(=O)CN,103.12099999999997,421.87,422.15
289-06-5,C1=NN=CS1,86.119,418.86,477.15
1122-62-9,CC(=O)C1=CC=CC=N1,121.13899999999995,494.01,482.15
2216-68-4,CNC1=CC=CC2=CC=CC=C21,157.2160000000001,552.09,567.65
777-37-7,C1=CC(=C(C=C1[N+](=O)[O-])C(F)(F)F)Cl,225.553,580.25,505.15
1116-24-1,CCCN(CCC)C(=O)C,143.23000000000013,448.95,500.15
75-50-3,CN(C)C,59.112000000000016,280.67999999999995,275.95
592-51-8,C=CCCC#N,81.11799999999997,412.76,413.15
627-37-2,CNCC=C,71.12299999999996,337.97,337.15
2436-96-6,C1=CC=C(C(=C1)C2=CC=CC=C2[N+](=O)[O-])[N+](=O)[O-],244.20600000000005,841.1599999999999,578.15
91-66-7,CCN(CC)C1=CC=CC=C1,149.2370000000001,467.52,489.15
120-72-9,C1=CC=C2C(=C1)C=CN2,117.15099999999995,473.42,527.15
57-14-7,CN(C)N,60.100000000000016,330.33,335.54999999999995
120-75-2,CC1=NC2=CC=CC=C2S1,149.21800000000005,531.38,511.15
5344-90-1,C1=CC=C(C(=C1)CO)N,123.15499999999994,556.13,546.15
75-05-8,CC#N,41.053,347.44,354.75
402-67-5,C1=CC(=CC(=C1)F)[N+](=O)[O-],141.10100000000003,519.65,470.15
579-66-8,CCC1=C(C(=CC=C1)CC)N,149.2370000000001,537.5699999999999,524.15
7239-24-9,CC(C)CN(C)C,101.19299999999993,348.88,353.15
117-18-0,C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl,260.891,685.04,577.15
150-77-6,CCN(CC)CCN(CC)CC,172.3160000000002,453.28,465.15
372-47-4,C1=CC(=CN=C1)F,97.09199999999998,393.65,380.15
92-71-7,C1=CC=C(C=C1)C2=CN=C(O2)C3=CC=CC=C3,221.25900000000007,705.04,633.15
111-92-2,CCCCNCCCC,129.24699999999993,432.81,435.15
539-03-7,CC(=O)NC1=CC=C(C=C1)Cl,169.61100000000005,555.77,605.15
110-97-4,CC(CNCC(C)O)O,133.191,570.53,523.15
142-08-5,C1=CC(=O)NC=C1,95.10099999999996,452.91,553.15
79-44-7,CN(C)C(=O)Cl,107.53999999999996,371.98,427.15
623-59-6,CC(=O)NC(=O)NC,116.11999999999996,499.2,584.15
107-11-9,C=CCN,57.09600000000002,337.45,327.15
685-91-6,CCN(CC)C(=O)C,115.17599999999992,403.19,472.15
13325-10-5,C(CCO)CN,89.13799999999996,455.83,476.15
630-18-2,CC(C)(C)C#N,83.13399999999996,412.85,378.35
625-92-3,C1=C(C=NC=C1Br)Br,236.89400000000003,531.6800000000001,495.15
753-90-2,C(C(F)(F)F)N,99.055,312.47,309.15
2450-71-7,C#CCN,55.08000000000001,330.89,357.15
101257-71-0,CC1CCNC(C1)(C)C,127.23099999999992,446.31,421.15
290-38-0,C1=CN=NC=N1,81.07799999999999,451.04,430.15
141-91-3,CC1CNCC(O1)C,115.17599999999992,427.26,420.15
598-56-1,CCN(C)C,73.13899999999995,303.55999999999995,309.65
768-52-5,CC(C)NC1=CC=CC=C1,135.21000000000004,481.93,476.15
5285-87-0,C1=CC=C(C=C1)SC#N,135.19100000000003,557.3,505.65
229-87-8,C1=CC=C2C(=C1)C=NC3=CC=CC=C23,179.2220000000001,620.36,623.45
70644-46-1,C1CC(CC=C1)C2=CC=NC=C2,159.2320000000001,550.3699999999999,499.15
88-72-2,CC1=CC=CC=C1[N+](=O)[O-],137.13800000000006,543.26,494.05
143-27-1,CCCCCCCCCCCCCCCCN,241.4630000000003,638.21,594.15
18328-90-0,CCNCC(=C)C,99.17699999999992,383.61,377.85
99-54-7,C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl,192.00100000000003,600.22,528.65
1532-97-4,C1=CC=C2C(=C1)C=NC=C2Br,208.05800000000005,576.02,555.65
620-22-4,CC1=CC(=CC=C1)C#N,117.15099999999995,516.3799999999999,488.15
119-65-3,C1=CC=C2C=NC=CC2=C1,129.16199999999998,504.88,516.3499999999999
101-82-6,C1=CC=C(C=C1)CC2=CC=CC=N2,169.2270000000001,581.22,550.15
18936-17-9,CCC(C)C#N,83.13399999999996,415.64,396.15
110-89-4,C1CCNCC1,85.14999999999995,386.77,379.34
109-98-8,C1CNN=C1,70.09499999999997,389.6,417.15
626-61-9,C1=CN=CC=C1Cl,113.54699999999995,431.81,424.15
92-84-2,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,199.27800000000008,641.0,644.15
517-22-6,CCC1=C(NC=C1C)C,123.19899999999993,464.4,470.15
97-00-7,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,202.553,714.6299999999999,588.15
581-46-4,C1=CC(=CN=C1)C2=CN=CC=C2,156.18800000000007,589.16,564.65
91-23-6,COC1=CC=CC=C1[N+](=O)[O-],153.13700000000006,565.68,545.15
624-78-2,CCNC,59.112000000000016,318.41,307.35
611-33-6,C1=CC2=C(C(=C1)Cl)N=CC=C2,163.60700000000006,547.29,561.65
140-80-7,CCN(CC)CCCC(C)N,158.2890000000002,490.05,474.15
3209-22-1,C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-],192.001,600.22,530.65
51-21-8,C1=C(C(=O)NC(=O)N1)F,130.07800000000003,551.49,642.15
4620-70-6,CC(C)(C)NCCO,117.19199999999992,476.0,453.15
135-88-6,C1=CC=C(C=C1)NC2=CC3=CC=CC=C3C=C2,219.2870000000001,693.1700000000001,668.65
10525-37-8,CCCCCCCCCCCCCCCCCCCCN,297.5709999999992,729.73,662.15
2257-52-5,CC(C)NN,74.12699999999995,390.5,380.15
95-80-7,CC1=C(C=C(C=C1)N)N,122.17099999999996,541.46,565.15
110-68-9,CCCCNC,87.16599999999994,364.17,364.15
111-75-1,CCCCNCCO,117.19199999999992,479.23,472.15
542-90-5,CCSC#N,87.14699999999998,439.1,417.15
1824-81-3,CC1=NC(=CC=C1)N,108.14399999999996,494.77,481.65
